tweet_id,text,location
ID_1001136696589631488,"Flash floods struck a Maryland city on Sunday, washing out streets and tossing cars like bath toys.",Maryland
ID_1001136950345109504,State of emergency declared for Maryland flooding: via @YouTube,Maryland
ID_1001137334056833024,"Other parts of Maryland also saw significant damage from Sundays storms including this Baltimore city neighborhood, #Dundalk and #Catonsville. Rain totals spanned from 1 to 10 inches across Maryland: #ECFlood",Baltimore Maryland
ID_1001138374923579392,"Catastrophic Flooding Slams Ellicott City, Maryland; Water Rescues Reported - The Weather Channel via @GoogleNews",Ellicott City Maryland
ID_1001138377717157888,"WATCH: 1 missing after flash #FLOODING devastates Ellicott City, Maryland #GPWX",Ellicott City Maryland
ID_1001141769155891200,"Watch Live: Aerials of damage after historic flash flooding in Ellicott City, Maryland.",Ellicott City Maryland
ID_1001143589630427136,"One person is reported missing as a state of emergency is declared amid flash floods in Maryland, @kristendahlgren reports",Maryland
ID_1001143679267098624,Monday May 28 - Morning Report: National Guardsman missing after monstrous floods sink Maryland town; Trump visits Arlington after critics slam appalling Memorial Day tweet Via @nypost,Arlington Maryland
ID_1001144314897018880,"One man is still missing after flash flooding tore down historic Main Street in Ellicott City, Maryland over the weekend",Ellicott City Maryland
ID_1001144944717914112,RT @KCCINews: State of emergency declared in Maryland after heavy rain causes flooding,Maryland
ID_1001146215441068032,"Howard County Executive Allan Kittleman said Monday morning that his priorities are finding the missing man and assessing the condition of buildings that house shops, restaurants and families.",Howard
ID_1001146965948706816,National Guardsman missing after flash flooding devastates historic town via @instapaper,
ID_1001147515360677888,JUST IN: Governor Larry Hogan has declared a state of emergency for the entire state of Maryland after extreme flooding.,Maryland
ID_1001147793904427008,Howard County officials searching for man reported missing in Ellicott City flood,Ellicott City Howard County
ID_1001148569863237632,AdvantaClean of Frederick is available to help mitigate the damages to homes and businesses in Ellicott City and surrounding areas. Call 877-800-2382 toll free to connect with our office to get the job done right.,Ellicott City
ID_1001150622379503616,Historic Maryland city is ravaged by flood waters again. Search is underway for missing man.,Maryland
ID_1001150946028666880,"Army National Guardsman missing after massive flooding hits Ellicott City, Maryland. Thoughts and prayers with Eddison Alexander Hermond and his family. I sure hope they find him alive and well.",Ellicott City Maryland
ID_1001152279368683520,RT @CristianiCasco: State of Emergency declared. Catastrophic flooding slams #EllicottCity #Maryland,Maryland
ID_1001152643497119744,RT @juicelessdre: 2 floods = an infrastructure problem,
ID_1001152706374000640,"Please pray for a brave vet who is missing in Maryland in the flooding. Ellicott City, Maryland flash floods leave National Guard member missing, devastate town recovering from 2016 deluge #FoxNews",Ellicott Maryland
ID_1001152780147576832,A state of emergency has been declared in the US state of #Maryland as catastrophic flash floods swept Ellicott City after heavy rain. Officials have urged residents to go to higher ground immediately.,Ellicott City Maryland US
ID_1001153524900749312,"In addition @MCFRS Swift Water Rescue crews assisted @HCDFRS during emergency response and other units were dispatched to fill-in at HCDFRS fire stations. Today, several MCFRS command staff are assisting w/ NCR-IMT (Incident Mgt)",
ID_1001154242273533952,I liked a @YouTube video CRAZY MARYLAND FLOODING - Flash flood smashes into Ellicott City Maryland,Ellicott City MARYLAND Maryland
ID_1001155244011720704,National Guard member missing after flash floods devastate historic Maryland town #FoxNews,Maryland
ID_1001155359002607616,": Missing #NationalGuardsman, #EddisonHermond, swept away in #EllicottCity, #Maryland #floods while saving others: #MemorialDay: .@RevJJackson @SantitaJ: SUN: 8-10aE/866.594.HOPE/#iHeartRadio: @PatriotAM1150/#FacebookLive",EllicottCity Maryland
ID_1001155564901199872,"@abcworldnewstonight - IN A FLASH: Crews have begun removing heavy debris – including cars and a dumpster – thrown by a wall of water that rushed through downtown Ellicott City, Maryland Sunday afternoon; 1 person remains missing as the town deals with",Ellicott City Maryland
ID_1001155973187162112,"Maryland Hit By Catastrophic Flash Flooding, Second Time in Two Years via @YouTube",Maryland
ID_1001156790275510272,"Flash Floods Surge Through Town in Maryland, One Person Is Missing",Maryland
ID_1001158582619000832,"National Guardsman missing after flash flooding devastates Ellicott City, Maryland: ‘I’m hopeful that he’ll be OK’",Ellicott City Maryland
ID_1001161182366126080,"During the devastating Maryland flash floods, witnesses said Eddison Alexander was swept away while helping a woman cross the waters in Ellicott City",Ellicott City Maryland
ID_1001161326020956160,"Headed to the Howard County Food Bank with supplies. Please consider joining and bringing cleaning supplies, food and water. #ECStrong #ElliottCity",Howard County
ID_1001162007138185216,"Man missing after 1,000-year flood ravages Ellicott City for 2nd time in two years Good thing Trump & his quislings are taking such good care of us - What climate change?",Ellicott City
ID_1001162370390155264,Officials in Maryland are looking for a National Guard member and Air Force veteran they say was swept away in weekend floods,Maryland
ID_1001163799326425088,Maryland man missing after Ellicott City devastated by rampaging flood,Ellicott City Maryland
ID_1001165258843664384,"RT @TIME: Hopeful that he will be OK.” Search underway for man missing in Ellicott City, Maryland flash flood",Ellicott City Maryland
